NAME,ratio,people,province
湖北省,68135,1405,湖北
广东省,1637,732,广东
河南省,1276,667,河南
浙江省,1269,572,浙江
湖南省,1019,532,湖南
安徽省,991,510,安徽
黑龙江省,947,452,黑龙江
江西省,932,340,江西
北京市,905,322,北京
山东省,792,297,山东
上海市,707,270,上海
江苏省,654,242,江苏
四川省,589,205,四川
重庆市,582,201,重庆
福建省,363,176,福建
河北省,349,166,河北
陕西省,320,154,陕西
广西壮族自治区,254,103,广西
内蒙古自治区,238,93,内蒙古
天津省,198,84,天津
山西省,198,77,山西
云南省,185,54,云南
海南省,171,49,海南
甘肃省,163,45,甘肃
吉林省,155,45,吉林
辽宁省,154,42,辽宁
贵州省,147,40,贵州
新疆维吾尔自治区,76,27,新疆
宁夏回族自治区,75,9,宁夏
青海省,18,7,青海
西藏自治区,1,5,西藏
香港特别行政区,1197,1,香港
台湾省,447,100,台湾
