Country,long,lat,ratio
Andorra,1.601554,42.546245,855
United Arab Emirates,53.847818,23.424076,NA
Afghanistan,67.709953,33.93911,30175
Antigua and Barbuda,-61.796428,17.060816,26
Anguilla,-63.068615,18.220554,3
Albania,20.168331,41.153332,2192
Armenia,45.038189,40.069099,22488
Netherlands Antilles,-69.060087,12.226079,NA
Angola,17.873887,-11.202692,189
Antarctica,-0.071389,-75.250973,NA
Argentina,-63.616672,-38.416097,49851
American Samoa,-170.132217,-14.270972,NA
Austria,14.550072,47.516231,17477
Australia,133.775136,-25.274398,7558
Aruba,-69.968338,12.52111,101
Azerbaijan,47.576927,40.143105,14852
Bosnia and Herzegovina,17.679076,43.915886,NA
Barbados,-59.543198,13.193887,97
Bangladesh,90.356331,23.684994,126606
Belgium,4.469936,50.503887,61007
Burkina Faso,-1.561593,12.238333,NA
Bulgaria,25.48583,42.733883,4242
Bahrain,50.637772,25.930414,23570
Burundi,29.918886,-3.373056,144
Benin,2.315834,9.30769,1017
Bermuda,-64.75737,32.321384,141
Brunei,114.727669,4.535277,141
Bolivia,-63.588653,-16.290154,28631
Brazil,-51.92528,-14.235004,1193609
Bahamas,-77.39628,25.03428,104
Bhutan,90.433601,27.514162,70
Bouvet Island,3.413194,-54.423199,NA
Botswana,24.684866,-22.328474,89
Belarus,27.953389,53.709807,60382
Belize,-88.49765,17.189877,23
Canada,-106.346771,56.130366,102242
Cocos [Keeling] Islands,96.870956,-12.164165,NA
Congo [DRC],21.758664,-4.038333,NA
Central African Republic,20.939444,6.611111,NA
Congo [Republic],15.827659,-0.228021,NA
Switzerland,8.227512,46.818188,31428
C?te d'Ivoire,-5.54708,7.539989,NA
Cook Islands,-159.777671,-21.236736,NA
Chile,-71.542969,-35.675147,254416
Cameroon,12.354722,7.369722,12592
China,104.195397,35.86166,85260
Colombia,-74.297333,4.570868,77113
Costa Rica,-83.753428,9.748917,2515
Cuba,-77.781167,21.521757,2319
Cape Verde,-24.013197,16.002082,NA
Christmas Island,105.690449,-10.447525,NA
Cyprus,33.429859,35.126413,991
Czech Republic,15.472962,49.817492,NA
Germany,10.451526,51.165691,193987
Djibouti,42.590275,11.825138,4630
Denmark,9.501785,56.26392,12636
Dominica,-61.370976,15.414999,NA
Dominican Republic,-70.162651,18.735693,NA
Algeria,1.659626,28.033886,12248
Ecuador,-78.183406,-1.831239,51643
Estonia,25.013607,58.595272,1984
Egypt,30.802498,26.820553,59561
Western Sahara,-12.885834,24.215527,9
Eritrea,39.782334,15.179384,143
Spain,-3.74922,40.463667,247086
Ethiopia,40.489673,9.145,5034
Finland,25.748151,61.92411,7172
Fiji,179.414413,-16.578193,18
Falkland Islands [Islas Malvinas],-59.523613,-51.796253,NA
Micronesia,150.550812,7.425554,NA
Faroe Islands,-6.911806,61.892635,187
France,2.213749,46.227638,161348
Gabon,11.609444,-0.803689,4956
United Kingdom,-3.435973,55.378051,306862
Grenada,-61.604171,12.262776,23
Georgia,43.356892,42.315407,917
French Guiana,-53.125782,3.933889,2827
Guernsey,-2.585278,49.465691,252
Ghana,-1.023194,7.946527,15013
Gibraltar,-5.345374,36.137741,176
Greenland,-42.604303,71.706936,13
Gambia,-15.310139,13.443182,42
Guinea,-9.696645,9.945587,5174
Guadeloupe,-62.067641,16.995971,174
Equatorial Guinea,10.267895,1.650801,NA
Greece,21.824312,39.074208,3310
South Georgia and the South Sandwich Islands,-36.587909,-54.429579,NA
Guatemala,-90.230759,15.783471,14819
Guam,144.793731,13.444304,226
Guinea-Bissau,-15.180413,11.803749,1556
Guyana,-58.93018,4.860416,206
Gaza Strip,34.308825,31.354676,NA
Hong Kong,114.109497,22.396428,NA
Heard Island and McDonald Islands,73.504158,-53.08181,NA
Honduras,-86.241905,15.199999,14571
Croatia,15.2,45.1,2483
Haiti,-72.285215,18.971187,5429
Hungary,19.503304,47.162494,4123
Indonesia,113.921327,-0.789275,51087
Ireland,-8.24389,53.41291,25396
Israel,34.851612,31.046051,22139
Isle of Man,-4.548056,54.236107,NA
India,78.96288,20.593684,473634
British Indian Ocean Territory,71.876519,-6.343194,NA
Iraq,43.679291,33.223191,39139
Iran,53.688046,32.427908,215096
Iceland,-19.020835,64.963051,1824
Italy,12.56738,41.87194,239410
Jersey,-2.13125,49.214439,308
Jamaica,-77.297508,18.109581,678
Jordan,36.238414,30.585164,1071
Japan,138.252924,36.204824,18212
Kenya,37.906193,-0.023559,5384
Kyrgyzstan,74.766098,41.20438,3954
Cambodia,104.990963,12.565679,130
Kiribati,-168.734039,-3.370417,NA
Comoros,43.872219,-11.875001,265
Saint Kitts and Nevis,-62.782998,17.357822,15
North Korea,127.510093,40.339852,NA
South Korea,127.766922,35.907757,NA
Kuwait,47.481766,29.31166,42788
Cayman Islands,-80.566956,19.513469,NA
Kazakhstan,66.923684,48.019573,19285
Laos,102.495496,19.85627,19
Lebanon,35.862285,33.854721,1644
Saint Lucia,-60.978893,13.909444,NA
Liechtenstein,9.555373,47.166,86
Sri Lanka,80.771797,7.873054,NA
Liberia,-9.429499,6.428055,662
Lesotho,28.233608,-29.609988,17
Lithuania,23.881275,55.169438,1806
Luxembourg,6.129583,49.815273,4140
Latvia,24.603189,56.879635,1111
Libya,17.228331,26.3351,670
Morocco,-7.09262,31.791702,11279
Monaco,7.412841,43.750298,101
Moldova,28.369885,47.411631,15078
Montenegro,19.37439,42.708678,389
Madagascar,46.869107,-18.766947,1829
Marshall Islands,171.184478,7.131474,NA
Macedonia [FYROM],21.745275,41.608635,NA
Mali,-3.996166,17.570692,2005
Myanmar [Burma],95.956223,21.913965,NA
Mongolia,103.846656,46.862496,213
Macau,113.543873,22.198745,NA
Northern Mariana Islands,145.38469,17.33083,31
Martinique,-61.024174,14.641528,236
Mauritania,-10.940835,21.00789,3519
Montserrat,-62.187366,16.742498,11
Malta,14.375416,35.937496,668
Mauritius,57.552152,-20.348404,341
Maldives,73.22068,3.202778,2261
Malawi,34.301525,-13.254308,941
Mexico,-102.552784,23.634501,196847
Malaysia,101.975766,4.210484,8600
Mozambique,35.529562,-18.665695,762
Namibia,18.49041,-22.95764,76
New Caledonia,165.618042,-20.904305,21
Niger,8.081666,17.607789,1051
Norfolk Island,167.954712,-29.040835,NA
Nigeria,8.675277,9.081999,22020
Nicaragua,-85.207229,12.865416,2170
Netherlands,5.291266,52.132633,49914
Norway,8.468946,60.472024,8788
Nepal,84.124008,28.394857,11162
Nauru,166.931503,-0.522778,NA
Niue,-169.867233,-19.054445,NA
New Zealand,174.885971,-40.900557,1519
Oman,55.923255,21.512583,34902
Panama,-80.782127,8.537981,28030
Peru,-75.015152,-9.189967,264689
French Polynesia,-149.406843,-17.679742,60
Papua New Guinea,143.95555,-6.314993,NA
Philippines,121.774017,12.879721,33069
Pakistan,69.345116,30.375321,192970
Poland,19.145136,51.919438,33119
Saint Pierre and Miquelon,-56.27111,46.941936,NA
Pitcairn Islands,-127.439308,-24.703615,NA
Puerto Rico,-66.590149,18.220833,6877
Palestinian Territories,35.233154,31.952162,NA
Portugal,-8.224454,39.399872,40415
Palau,134.58252,7.51498,NA
Paraguay,-58.443832,-23.442503,1528
Qatar,51.183884,25.354826,91838
R¨¦union,55.536384,-21.115141,NA
Romania,24.96676,45.943161,NA
Serbia,21.005859,44.016521,13372
Russia,105.318756,61.52401,613994
Rwanda,29.873888,-1.940278,830
Saudi Arabia,45.079162,23.885942,170639
Solomon Islands,160.156194,-9.64571,NA
Seychelles,55.491977,-4.679574,11
Sudan,30.217636,12.862807,8889
Sweden,18.643501,60.128161,62324
Singapore,103.819836,1.352083,42736
Saint Helena,-10.030696,-24.143474,NA
Slovenia,14.995463,46.151241,1547
Svalbard and Jan Mayen,23.670272,77.553604,NA
Slovakia,19.699024,48.669026,1630
Sierra Leone,-11.779889,8.460555,NA
San Marino,12.457777,43.94236,NA
Senegal,-14.452362,14.497401,6233
Somalia,46.199616,5.152149,2835
Suriname,-56.027783,3.919305,357
S?o Tom¨¦ and Pr¨ªncipe,6.613081,0.18636,NA
El Salvador,-88.89653,13.794185,5336
Syria,38.996815,34.802075,231
Swaziland,31.465866,-26.522503,690
Turks and Caicos Islands,-71.797928,21.694025,NA
Chad,18.732207,15.454166,860
French Southern Territories,69.348557,-49.280366,NA
Togo,0.824782,8.619543,583
Thailand,100.992541,15.870032,3158
Tajikistan,71.276093,38.861034,5630
Tokelau,-171.855881,-8.967363,NA
Timor-Leste,125.727539,-8.874217,NA
Turkmenistan,59.556278,38.969719,NA
Tunisia,9.537499,33.886917,1160
Tonga,-175.198242,-21.178986,NA
Turkey,35.243322,38.963745,191657
Trinidad and Tobago,-61.222503,10.691803,123
Tuvalu,177.64933,-7.109535,NA
Taiwan,120.960515,23.69781,NA
Tanzania,34.888822,-6.369028,509
Ukraine,31.16558,48.379433,40008
Uganda,32.290275,1.373333,805
U.S. Minor Outlying Islands,NA,NA,NA
United States,-95.712891,37.09024,NA
Uruguay,-55.765835,-32.522779,902
Uzbekistan,64.585262,41.377491,6990
Vatican City,12.453389,41.902916,NA
Saint Vincent and the Grenadines,-61.287228,12.984305,29
Venezuela,-66.58973,6.42375,4366
British Virgin Islands,-64.639968,18.420695,NA
U.S. Virgin Islands,-64.896335,18.335765,NA
Vietnam,108.277199,14.058324,NA
Vanuatu,166.959158,-15.376706,NA
Wallis and Futuna,-177.156097,-13.768752,NA
Samoa,-172.104629,-13.759029,NA
Kosovo,20.902977,42.602636,2216
Yemen,48.516388,15.552727,1015
Mayotte,45.166244,-12.8275,2467
South Africa,22.937506,-30.559482,111796
Zambia,27.849332,-13.133897,1497
Zimbabwe,29.154857,-19.015438,530
USA,NA,NA,2462554
Bosnia,NA,NA,3676
Burkina faso,NA,NA,934
Burma,NA,NA,293
Bvi,NA,NA,8
Cape verde,NA,NA,999
Cayman islands,NA,NA,195
Congo (Bu),NA,NA,1087
Congo (DRC),NA,NA,6213
Curacao,NA,NA,20
Czech,NA,NA,10780
Diamond Princess,NA,NA,712
Dominic,NA,NA,18
Dominican,NA,NA,28631
East timor,NA,NA,24
Equatorial guinea,NA,NA,1664
Falkland islands,NA,NA,13
Isle,NA,NA,336
Ivory coast,NA,NA,8164
Korea,NA,NA,12563
Lucia,NA,NA,19
Netherlands Caribbean,NA,NA,7
Non -,NA,NA,3099
North Macedonia,NA,NA,5445
Palestinian,NA,NA,1328
Papua new guinea,NA,NA,9
Reunion,NA,NA,426
Romanian,NA,NA,25286
Saint Barthelemi,NA,NA,6
Saint-Pierre and Miquelon Islands,NA,NA,1
San marino,NA,NA,698
Sao Tome and Principe,NA,NA,710
Sierra leone,NA,NA,1354
South Sudan,NA,NA,1942
Sri lanka,NA,NA,2007
"St. Martin, France",NA,NA,117
"St. Martin, Netherlands",NA,NA,77
Tci,NA,NA,14
U.A.E,NA,NA,46563
Usvi,NA,NA,76
Vatican,NA,NA,12
Viet Nam,NA,NA,352
